Geolocation,Type,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 Annual,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 Annual,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
....Guimaras,Turkey for Dressing,322.35,627.86,..,..,475.11,500.00,350.00,350.00,400.00,400.00,350.00,400.00,350.00,350.00,362.50,383.33,*/,*/,*/,*/
....Guimaras,Quail Egg,..,..,..,..,..,..,..,..,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....Iloilo,Horse for Slaughter,..,..,285.00,..,285.00,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Iloilo,Rabbit for Slaughter,..,..,350.00,..,350.00,..,600.00,245.00,..,422.50,..,243.33,245.00,245.00,244.44,245.00,*/,*/,*/,*/
....Iloilo,Sheep for Slaughter,..,..,..,300.00,300.00,370.00,..,..,..,370.00,400.00,450.00,351.67,350.00,387.92,400.00,*/,*/,*/,*/
....Iloilo,Goose for Dressing,..,..,..,..,..,..,..,300.00,..,300.00,..,..,288.33,295.00,291.67,295.00,*/,*/,*/,*/
....Iloilo,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,151.67,151.67,155.00,152.78,155.00,*/,*/,*/,*/
....Iloilo,Turkey for Dressing,..,..,..,..,..,..,350.00,280.57,285.00,305.19,358.33,..,281.67,285.00,308.33,300.00,*/,*/,*/,*/
....Iloilo,Quail Egg,..,..,..,..,..,1.80,..,..,..,1.80,..,2.00,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....Negros Occidental,Horse for Slaughter,..,..,..,..,..,..,..,..,..,130.00,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Occidental,Rabbit for Slaughter,..,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Occidental,Sheep for Slaughter,..,..,..,..,..,..,..,250.00,250.00,250.00,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Occidental,Goose for Dressing,..,..,180.00,..,180.00,180.00,180.00,180.00,180.00,180.00,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Occidental,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Occidental,Turkey for Dressing,..,..,..,300.00,300.00,300.00,300.00,300.00,300.00,300.00,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Occidental,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Horse for Slaughter,..,..,..,..,..,..,130.00,112.50,130.00,..,239.22,130.00,127.26,127.92,156.10,136.57,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,300.00,300.00,355.65,300.00,313.91,299.63,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,246.22,250.00,227.14,236.86,240.06,250.00,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Goose for Dressing,..,..,..,..,..,..,..,..,..,..,163.77,160.71,108.94,179.40,153.20,177.95,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,116.53,105.77,122.37,121.56,116.56,110.99,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,300.00,249.41,292.62,294.88,284.23,214.45,*/,*/,*/,*/
..NEGROS ISLAND REGION (NIR),Quail Egg,..,..,..,..,..,..,..,..,..,..,1.80,1.73,1.87,1.85,1.81,2.34,*/,*/,*/,*/
....Negros Occidental a/,Horse for Slaughter,..,..,..,..,..,..,130.00,130.00,130.00,..,130.00,130.00,130.00,130.00,130.00,130.00,*/,*/,*/,*/
....Negros Occidental a/,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,300.00,300.00,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Negros Occidental a/,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,250.00,250.00,250.00,250.00,250.00,250.00,*/,*/,*/,*/
....Negros Occidental a/,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,180.00,180.00,180.00,180.00,180.00,180.00,*/,*/,*/,*/
....Negros Occidental a/,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,100.00,100.00,100.00,100.00,100.00,100.00,*/,*/,*/,*/
....Negros Occidental a/,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,300.00,300.00,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Negros Occidental a/,Quail Egg,..,..,..,..,..,..,..,..,..,..,1.80,1.80,1.80,2.00,1.85,2.00,*/,*/,*/,*/
....Negros Oriental b/,Horse for Slaughter,..,..,..,..,..,..,..,95.00,..,..,117.00,..,101.67,103.33,107.33,145.00,*/,*/,*/,*/
....Negros Oriental b/,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,375.00,..,375.00,75.00,*/,*/,*/,*/
....Negros Oriental b/,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,170.00,..,170.00,235.00,191.67,250.00,*/,*/,*/,*/
....Negros Oriental b/,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,150.00,150.00,100.00,180.00,145.00,176.67,*/,*/,*/,*/
....Negros Oriental b/,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,180.00,130.00,177.00,180.00,166.75,186.67,*/,*/,*/,*/
....Negros Oriental b/,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,300.00,225.00,300.00,275.00,275.00,133.33,*/,*/,*/,*/
....Negros Oriental b/,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,2.50,2.42,2.53,2.48,2.58,*/,*/,*/,*/
....Siquijor b/,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,300.00,..,..,..,300.00,..,*/,*/,*/,*/
....Siquijor b/,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor b/,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor b/,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,180.00,160.00,160.00,160.00,165.00,180.00,*/,*/,*/,*/
....Siquijor b/,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor b/,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,180.00,180.00,180.00,180.00,180.00,*/,*/,*/,*/
....Siquijor b/,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,1.50,1.50,1.50,1.50,1.75,*/,*/,*/,*/
....City of Bacolod,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....City of Bacolod,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Rabbit for Slaughter,300.00,..,..,..,300.00,..,80.00,80.00,90.00,83.33,..,175.00,116.00,116.00,135.67,150.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Sheep for Slaughter,..,..,..,211.11,211.11,..,..,220.00,208.33,214.17,150.00,150.00,..,200.00,166.67,200.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Goose for Dressing,..,..,..,..,..,..,..,..,150.00,150.00,..,150.00,..,..,150.00,200.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,150.00,40.00,220.00,166.00,144.00,150.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Turkey for Dressing,..,..,..,307.48,307.48,..,..,350.00,250.00,300.00,350.00,350.00,175.52,350.00,306.38,350.00,*/,*/,*/,*/
..REGION VII (CENTRAL VISAYAS),Quail Egg,..,..,..,..,..,..,2.00,..,2.50,2.25,2.50,2.50,2.18,2.98,2.54,2.84,*/,*/,*/,*/
....Bohol,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bohol,Rabbit for Slaughter,300.00,..,..,..,300.00,..,80.00,80.00,80.00,80.00,..,175.00,116.00,116.00,135.67,..,*/,*/,*/,*/
....Bohol,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bohol,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Bohol,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,220.00,166.00,193.00,..,*/,*/,*/,*/
....Bohol,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,150.00,..,150.00,..,*/,*/,*/,*/
....Bohol,Quail Egg,..,..,..,..,..,..,..,..,..,..,2.50,2.50,2.00,2.40,2.35,2.50,*/,*/,*/,*/
....Cebu,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Cebu,Rabbit for Slaughter,..,..,..,..,..,..,..,..,100.00,100.00,..,..,..,..,..,150.00,*/,*/,*/,*/
....Cebu,Sheep for Slaughter,..,..,..,..,..,..,..,..,150.00,150.00,150.00,150.00,..,200.00,166.67,200.00,*/,*/,*/,*/
....Cebu,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,150.00,..,..,150.00,200.00,*/,*/,*/,*/
....Cebu,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,150.00,40.00,..,..,95.00,150.00,*/,*/,*/,*/
....Cebu,Turkey for Dressing,..,..,..,307.48,307.48,..,..,..,..,..,350.00,350.00,350.00,350.00,350.00,350.00,*/,*/,*/,*/
....Cebu,Quail Egg,..,..,..,..,..,..,2.00,..,2.50,2.25,2.50,2.50,2.20,3.00,2.55,3.00,*/,*/,*/,*/
....Negros Oriental,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Oriental,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Oriental,Sheep for Slaughter,..,..,..,211.11,211.11,..,..,220.00,266.67,243.33,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Oriental,Goose for Dressing,..,..,..,..,..,..,..,..,150.00,150.00,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Oriental,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Oriental,Turkey for Dressing,..,..,..,..,..,..,..,..,250.00,250.00,..,..,..,..,..,..,*/,*/,*/,*/
....Negros Oriental,Quail Egg,..,..,..,..,..,..,..,..,2.50,2.50,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor,Turkey for Dressing,..,..,..,..,..,..,..,350.00,..,350.00,..,..,..,..,..,..,*/,*/,*/,*/
....Siquijor,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,140.00,250.00,..,180.00,190.00,..,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Rabbit for Slaughter,170.00,..,..,..,170.00,..,275.00,..,335.00,305.00,180.00,193.76,156.53,245.94,194.06,175.16,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,180.35,180.00,180.00,180.12,179.29,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Goose for Dressing,..,..,..,..,..,..,150.00,..,..,150.00,180.58,200.00,192.77,193.03,191.60,203.69,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,135.00,143.30,149.71,150.00,144.50,149.75,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Turkey for Dressing,360.66,200.00,150.00,95.00,201.41,143.33,350.00,200.00,255.07,237.10,253.71,298.82,206.09,280.28,259.73,343.71,*/,*/,*/,*/
..REGION VIII (EASTERN VISAYAS),Quail Egg,..,..,..,..,..,..,2.00,..,..,2.00,2.00,2.00,2.00,2.48,2.12,2.48,*/,*/,*/,*/
....Biliran,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Rabbit for Slaughter,..,..,..,..,..,..,..,..,350.00,350.00,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,160.00,*/,*/,*/,*/
....Biliran,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Turkey for Dressing,360.66,..,..,..,360.66,..,..,..,375.00,375.00,..,..,..,..,..,..,*/,*/,*/,*/
....Biliran,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Eastern Samar,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Eastern Samar,Rabbit for Slaughter,..,..,..,..,..,..,150.00,..,320.00,235.00,180.00,150.00,155.00,155.00,160.00,180.00,*/,*/,*/,*/
....Eastern Samar,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,200.00,..,..,200.00,..,*/,*/,*/,*/
....Eastern Samar,Goose for Dressing,..,..,..,..,..,..,150.00,..,..,150.00,180.00,200.00,200.00,200.00,195.00,200.00,*/,*/,*/,*/
....Eastern Samar,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,150.00,150.00,150.00,*/,*/,*/,*/
....Eastern Samar,Turkey for Dressing,..,200.00,150.00,..,175.00,150.00,150.00,200.00,..,166.67,250.00,200.00,200.00,200.00,212.50,200.00,*/,*/,*/,*/
....Eastern Samar,Quail Egg,..,..,..,..,..,..,..,..,..,..,2.00,2.00,2.00,2.00,2.00,..,*/,*/,*/,*/
....Leyte,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,250.00,..,..,250.00,..,*/,*/,*/,*/
....Leyte,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,150.00,155.00,155.00,153.33,155.00,*/,*/,*/,*/
....Leyte,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,180.00,180.00,180.00,180.00,180.00,*/,*/,*/,*/
....Leyte,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,200.00,150.00,150.00,166.67,..,*/,*/,*/,*/
....Leyte,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,143.33,150.00,150.00,147.78,150.00,*/,*/,*/,*/
....Leyte,Turkey for Dressing,..,..,..,95.00,95.00,100.00,..,..,..,100.00,..,413.33,420.00,420.00,417.78,420.00,*/,*/,*/,*/
....Leyte,Quail Egg,..,..,..,..,..,..,2.00,..,..,2.00,..,2.00,2.00,2.50,2.17,2.50,*/,*/,*/,*/
....Northern Samar,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Northern Samar,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Northern Samar,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Northern Samar,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,220.00,*/,*/,*/,*/
....Northern Samar,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Northern Samar,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,280.00,*/,*/,*/,*/
....Northern Samar,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Samar,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Samar,Rabbit for Slaughter,170.00,..,..,..,170.00,..,400.00,..,..,400.00,..,240.00,..,355.00,297.50,..,*/,*/,*/,*/
....Samar,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Samar,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Samar,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,150.00,..,..,150.00,..,*/,*/,*/,*/
....Samar,Turkey for Dressing,..,200.00,..,..,200.00,..,..,..,..,..,..,250.00,350.00,355.00,318.33,353.33,*/,*/,*/,*/
....Samar,Quail Egg,..,..,..,..,..,..,..,..,..,..,..,2.00,..,2.50,2.25,..,*/,*/,*/,*/
....Southern Leyte,Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,140.00,..,..,180.00,160.00,..,*/,*/,*/,*/
....Southern Leyte,Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,195.00,195.00,195.00,200.00,*/,*/,*/,*/
....Southern Leyte,Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Southern Leyte,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,220.00,..,200.00,200.00,206.67,200.00,*/,*/,*/,*/
....Southern Leyte,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,135.00,120.00,125.00,..,126.67,137.50,*/,*/,*/,*/
....Southern Leyte,Turkey for Dressing,..,..,..,..,..,180.00,350.00,..,250.00,260.00,300.00,265.00,270.00,260.00,273.75,280.00,*/,*/,*/,*/
....Southern Leyte,Quail Egg,..,..,..,..,..,..,..,..,..,..,2.00,2.00,2.00,2.00,2.00,2.00,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Horse for Slaughter,..,..,..,78.12,78.12,82.50,78.12,79.34,83.33,80.82,155.69,90.17,77.78,90.56,103.55,138.44,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Rabbit for Slaughter,..,..,..,..,..,..,93.03,94.00,86.67,91.23,162.73,83.32,89.62,98.30,108.49,118.83,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Sheep for Slaughter,..,..,..,..,..,..,244.00,237.50,255.00,245.50,258.24,270.21,246.17,248.61,255.81,271.54,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Goose for Dressing,..,..,..,..,..,..,..,..,..,..,269.65,283.42,275.33,224.12,263.13,192.18,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,137.46,61.89,100.00,91.67,97.76,122.42,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Turkey for Dressing,..,511.41,..,..,511.41,120.00,250.00,..,250.00,206.67,347.40,343.60,456.33,479.14,406.62,379.68,*/,*/,*/,*/
..REGION IX (ZAMBOANGA PENINSULA),Quail Egg,2.00,..,..,..,2.00,..,1.25,..,..,1.25,2.31,2.03,2.11,2.00,2.11,2.41,*/,*/,*/,*/
....Sulu d/,Horse for Slaughter,......,......,......,......,......,......,......,......,......,......,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Rabbit for Slaughter,......,......,......,......,......,......,......,......,......,......,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Sheep for Slaughter,......,......,......,......,......,......,......,......,......,......,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Goose for Dressing,......,......,......,......,......,......,......,......,......,......,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Quail for Dressing,......,......,......,......,......,......,......,......,......,......,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Turkey for Dressing,......,......,......,......,......,......,......,......,......,......,......,......,......,......,......,..,*/,*/,*/,*/
....Sulu d/,Quail Egg,......,......,......,......,......,......,......,......,......,......,......,......,......,......,......,..,*/,*/,*/,*/
....Zamboanga del Norte,Horse for Slaughter,..,..,..,68.18,68.18,70.00,68.18,70.00,75.00,70.80,165.00,90.00,70.00,70.00,98.75,146.67,*/,*/,*/,*/
....Zamboanga del Norte,Rabbit for Slaughter,..,..,..,..,..,..,80.00,82.00,70.00,77.33,130.00,80.00,82.00,80.00,93.00,80.00,*/,*/,*/,*/
....Zamboanga del Norte,Sheep for Slaughter,..,..,..,..,..,..,270.00,280.00,280.00,276.67,290.00,280.00,280.00,280.00,282.50,300.00,*/,*/,*/,*/
....Zamboanga del Norte,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,300.00,250.00,250.00,250.00,262.50,250.00,*/,*/,*/,*/
....Zamboanga del Norte,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
....Zamboanga del Norte,Turkey for Dressing,..,511.41,..,..,511.41,..,..,..,..,..,350.00,300.00,528.00,500.00,419.50,383.33,*/,*/,*/,*/
....Zamboanga del Norte,Quail Egg,..,..,..,..,..,..,..,..,..,..,2.00,2.00,2.00,2.00,2.00,2.50,*/,*/,*/,*/
....Zamboanga del Sur,Horse for Slaughter,..,..,..,73.17,73.17,..,73.17,75.00,80.00,76.06,150.00,75.00,75.00,75.00,93.75,113.00,*/,*/,*/,*/
....Zamboanga del Sur,Rabbit for Slaughter,..,..,..,..,..,..,109.09,110.00,100.00,106.36,87.50,110.00,110.00,110.00,104.38,98.75,*/,*/,*/,*/
....Zamboanga del Sur,Sheep for Slaughter,..,..,..,..,..,..,222.00,225.00,230.00,225.67,230.00,250.00,250.00,240.00,242.50,230.00,*/,*/,*/,*/
....Zamboanga del Sur,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,300.00,400.00,380.00,966.67,511.67,300.00,*/,*/,*/,*/
....Zamboanga del Sur,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,130.00,60.00,..,80.00,90.00,130.00,*/,*/,*/,*/
....Zamboanga del Sur,Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,400.00,400.00,500.00,1400.00,675.00,400.00,*/,*/,*/,*/
....Zamboanga del Sur,Quail Egg,2.00,..,..,..,2.00,..,..,..,..,..,2.50,2.00,2.00,2.00,2.13,2.00,*/,*/,*/,*/
....Zamboanga Sibugay,Horse for Slaughter,..,..,..,93.02,93.02,95.00,93.02,93.02,95.00,94.01,175.00,125.00,120.00,122.50,135.63,150.00,*/,*/,*/,*/
....Zamboanga Sibugay,Rabbit for Slaughter,..,..,..,..,..,..,90.00,90.00,90.00,90.00,250.00,90.00,100.00,100.00,135.00,120.00,*/,*/,*/,*/
....Zamboanga Sibugay,Sheep for Slaughter,..,..,..,..,..,..,240.00,220.00,220.00,226.67,190.00,200.00,220.00,223.33,208.33,230.00,*/,*/,*/,*/
....Zamboanga Sibugay,Goose for Dressing,..,..,..,..,..,..,..,..,..,..,200.00,190.00,150.00,150.00,172.50,190.00,*/,*/,*/,*/
....Zamboanga Sibugay,Quail for Dressing,..,..,..,..,..,..,..,..,..,..,150.00,73.33,100.00,100.00,105.83,120.00,*/,*/,*/,*/
....Zamboanga Sibugay,Turkey for Dressing,..,..,..,..,..,120.00,250.00,..,250.00,206.67,300.00,383.33,300.00,450.00,358.33,450.00,*/,*/,*/,*/
....Zamboanga Sibugay,Quail Egg,..,..,..,..,..,..,1.25,..,..,1.25,2.00,2.17,2.17,2.00,2.08,2.00,*/,*/,*/,*/
....City of Zamboanga,Horse for Slaughter,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,75.00,..,..,75.00,180.00,*/,*/,*/,*/
....City of Zamboanga,Rabbit for Slaughter,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,..,..,..,..,..,*/,*/,*/,*/
....City of Zamboanga,Sheep for Slaughter,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,250.00,240.00,250.00,246.67,..,*/,*/,*/,*/
....City of Zamboanga,Goose for Dressing,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,..,..,..,..,143.33,*/,*/,*/,*/
....City of Zamboanga,Quail for Dressing,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,60.00,..,100.00,80.00,..,*/,*/,*/,*/
....City of Zamboanga,Turkey for Dressing,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,..,350.00,350.00,350.00,270.00,*/,*/,*/,*/
....City of Zamboanga,Quail Egg,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,1/,2.00,..,2.00,2.00,3.00,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Horse for Slaughter,..,..,..,200.00,200.00,200.00,150.00,216.67,250.00,204.17,138.94,145.76,187.71,164.42,159.21,182.22,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Rabbit for Slaughter,..,..,..,303.75,303.75,350.00,266.00,305.00,275.00,299.00,347.06,296.24,286.53,275.69,301.38,350.62,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Sheep for Slaughter,..,..,..,248.00,248.00,192.33,234.44,300.83,273.33,250.24,227.34,300.26,266.53,260.81,263.74,205.61,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Goose for Dressing,..,..,..,..,..,350.00,220.00,250.00,251.67,267.92,208.46,251.90,238.10,227.22,231.42,229.99,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Quail for Dressing,..,..,..,..,..,200.00,215.00,..,..,207.50,205.08,33.29,210.00,211.04,164.85,210.81,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Turkey for Dressing,..,..,..,500.00,500.00,648.12,500.00,..,..,574.06,392.82,371.57,491.62,416.20,418.05,440.11,*/,*/,*/,*/
..REGION X (NORTHERN MINDANAO),Quail Egg,..,..,..,2.50,2.50,..,2.50,..,..,2.50,2.29,2.21,2.45,2.29,2.31,2.40,*/,*/,*/,*/
....Bukidnon,Horse for Slaughter,..,..,..,..,..,..,..,300.00,300.00,300.00,150.00,150.00,150.00,150.00,150.00,150.00,*/,*/,*/,*/
