Geolocation,Type,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
....Lanao del Norte,Quail for Dressing,210.00,..,210.00,210.00,210.00,210.00,*/,*/,*/,*/
....Lanao del Norte,Turkey for Dressing,350.00,..,350.00,350.00,350.00,350.00,*/,*/,*/,*/
....Lanao del Norte,Quail Egg,2.00,..,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....Misamis Occidental,Horse for Slaughter,..,..,..,130.00,130.00,..,*/,*/,*/,*/
....Misamis Occidental,Rabbit for Slaughter,300.00,300.00,308.33,300.00,302.08,306.67,*/,*/,*/,*/
....Misamis Occidental,Sheep for Slaughter,230.00,230.00,..,230.00,230.00,230.00,*/,*/,*/,*/
....Misamis Occidental,Goose for Dressing,266.67,260.00,260.00,260.00,261.67,270.00,*/,*/,*/,*/
....Misamis Occidental,Quail for Dressing,..,35.00,..,190.00,112.50,183.33,*/,*/,*/,*/
....Misamis Occidental,Turkey for Dressing,466.67,400.00,458.33,458.33,445.83,468.33,*/,*/,*/,*/
....Misamis Occidental,Quail Egg,1.58,1.67,1.92,1.92,1.77,1.75,*/,*/,*/,*/
....Misamis Oriental,Horse for Slaughter,125.00,130.00,..,153.33,136.11,..,*/,*/,*/,*/
....Misamis Oriental,Rabbit for Slaughter,380.00,350.00,333.33,300.00,340.83,386.67,*/,*/,*/,*/
....Misamis Oriental,Sheep for Slaughter,256.25,326.67,318.12,279.85,295.22,238.62,*/,*/,*/,*/
....Misamis Oriental,Goose for Dressing,150.00,293.33,206.67,206.67,214.17,208.33,*/,*/,*/,*/
....Misamis Oriental,Quail for Dressing,210.00,..,..,200.00,205.00,..,*/,*/,*/,*/
....Misamis Oriental,Turkey for Dressing,545.00,230.00,350.00,350.00,368.75,400.00,*/,*/,*/,*/
....Misamis Oriental,Quail Egg,3.00,..,4.00,2.50,3.17,3.00,*/,*/,*/,*/
..REGION XI (DAVAO REGION),Horse for Slaughter,178.35,145.01,182.71,179.65,171.43,212.34,*/,*/,*/,*/
..REGION XI (DAVAO REGION),Rabbit for Slaughter,276.22,228.48,281.39,338.52,281.15,186.92,*/,*/,*/,*/
..REGION XI (DAVAO REGION),Sheep for Slaughter,250.28,238.47,215.71,214.30,229.69,241.23,*/,*/,*/,*/
..REGION XI (DAVAO REGION),Goose for Dressing,241.96,..,180.20,238.42,220.19,251.63,*/,*/,*/,*/
..REGION XI (DAVAO REGION),Quail for Dressing,69.24,..,170.16,192.55,143.98,61.95,*/,*/,*/,*/
..REGION XI (DAVAO REGION),Turkey for Dressing,365.21,..,211.70,345.76,307.55,357.49,*/,*/,*/,*/
..REGION XI (DAVAO REGION),Quail Egg,1.77,..,1.77,1.83,1.79,1.95,*/,*/,*/,*/
....Davao de Oro,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Davao de Oro,Rabbit for Slaughter,250.00,350.00,400.00,400.00,350.00,250.00,*/,*/,*/,*/
....Davao de Oro,Sheep for Slaughter,250.00,250.00,250.00,250.00,250.00,250.00,*/,*/,*/,*/
....Davao de Oro,Goose for Dressing,250.00,250.00,250.00,250.00,250.00,266.67,*/,*/,*/,*/
....Davao de Oro,Quail for Dressing,100.00,150.00,120.00,150.00,130.00,..,*/,*/,*/,*/
....Davao de Oro,Turkey for Dressing,400.00,350.00,400.00,350.00,375.00,383.33,*/,*/,*/,*/
....Davao de Oro,Quail Egg,2.00,2.00,2.00,2.00,2.00,2.50,*/,*/,*/,*/
....Davao del Norte,Horse for Slaughter,150.00,150.00,..,..,150.00,..,*/,*/,*/,*/
....Davao del Norte,Rabbit for Slaughter,150.00,150.00,150.00,350.00,200.00,150.00,*/,*/,*/,*/
....Davao del Norte,Sheep for Slaughter,250.00,260.00,192.52,200.00,225.63,261.67,*/,*/,*/,*/
....Davao del Norte,Goose for Dressing,150.00,350.00,150.00,250.00,225.00,203.33,*/,*/,*/,*/
....Davao del Norte,Quail for Dressing,60.00,90.00,175.00,200.00,131.25,60.00,*/,*/,*/,*/
....Davao del Norte,Turkey for Dressing,350.00,350.00,170.00,350.00,305.00,366.67,*/,*/,*/,*/
....Davao del Norte,Quail Egg,1.70,1.70,1.70,1.82,1.73,1.87,*/,*/,*/,*/
....Davao del Sur,Horse for Slaughter,266.67,..,200.00,200.00,222.22,300.00,*/,*/,*/,*/
....Davao del Sur,Rabbit for Slaughter,350.00,333.33,323.33,350.00,339.17,329.75,*/,*/,*/,*/
....Davao del Sur,Sheep for Slaughter,210.86,164.17,148.06,149.45,168.13,220.00,*/,*/,*/,*/
....Davao del Sur,Goose for Dressing,200.00,350.00,200.00,200.00,237.50,200.00,*/,*/,*/,*/
....Davao del Sur,Quail for Dressing,100.00,90.00,150.00,100.00,110.00,100.00,*/,*/,*/,*/
....Davao del Sur,Turkey for Dressing,350.00,450.00,383.33,350.00,383.33,350.00,*/,*/,*/,*/
....Davao del Sur,Quail Egg,2.50,..,2.00,2.00,2.17,2.00,*/,*/,*/,*/
....Davao Occidental,Horse for Slaughter,120.00,131.67,176.67,176.67,151.25,175.00,*/,*/,*/,*/
....Davao Occidental,Rabbit for Slaughter,150.00,286.67,303.33,350.00,272.50,350.00,*/,*/,*/,*/
....Davao Occidental,Sheep for Slaughter,296.67,226.67,250.00,250.00,255.83,250.00,*/,*/,*/,*/
....Davao Occidental,Goose for Dressing,180.00,..,180.00,180.00,180.00,180.00,*/,*/,*/,*/
....Davao Occidental,Quail for Dressing,..,..,200.00,200.00,200.00,..,*/,*/,*/,*/
....Davao Occidental,Turkey for Dressing,400.00,..,306.67,323.33,343.33,323.33,*/,*/,*/,*/
....Davao Occidental,Quail Egg,2.00,..,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....Davao Oriental,Horse for Slaughter,..,..,..,..,..,133.33,*/,*/,*/,*/
....Davao Oriental,Rabbit for Slaughter,350.00,350.00,350.00,366.67,354.17,293.33,*/,*/,*/,*/
....Davao Oriental,Sheep for Slaughter,260.00,253.33,253.33,230.00,249.17,266.67,*/,*/,*/,*/
....Davao Oriental,Goose for Dressing,170.00,..,100.00,96.67,122.22,103.33,*/,*/,*/,*/
....Davao Oriental,Quail for Dressing,100.00,90.00,90.00,..,93.33,..,*/,*/,*/,*/
....Davao Oriental,Turkey for Dressing,350.00,350.00,350.00,350.00,350.00,350.00,*/,*/,*/,*/
....Davao Oriental,Quail Egg,2.00,2.00,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....City of Davao,Horse for Slaughter,2/,150.00,146.67,150.00,148.89,160.67,*/,*/,*/,*/
....City of Davao,Rabbit for Slaughter,2/,243.33,193.33,206.67,214.44,..,*/,*/,*/,*/
....City of Davao,Sheep for Slaughter,2/,200.69,200.00,215.63,205.44,200.00,*/,*/,*/,*/
....City of Davao,Goose for Dressing,2/,..,..,..,..,..,*/,*/,*/,*/
....City of Davao,Quail for Dressing,2/,50.00,..,200.00,125.00,200.00,*/,*/,*/,*/
....City of Davao,Turkey for Dressing,2/,213.33,173.33,188.33,191.67,190.00,*/,*/,*/,*/
....City of Davao,Quail Egg,2/,1.00,1.50,2.00,1.50,2.00,*/,*/,*/,*/
..REGION XII (SOCCSKSARGEN),Horse for Slaughter,92.78,171.88,145.27,138.86,137.20,127.33,*/,*/,*/,*/
..REGION XII (SOCCSKSARGEN),Rabbit for Slaughter,280.55,263.88,259.00,258.27,265.42,258.53,*/,*/,*/,*/
..REGION XII (SOCCSKSARGEN),Sheep for Slaughter,228.33,214.56,225.54,214.71,220.78,210.44,*/,*/,*/,*/
..REGION XII (SOCCSKSARGEN),Goose for Dressing,227.12,..,252.08,245.15,241.45,248.63,*/,*/,*/,*/
..REGION XII (SOCCSKSARGEN),Quail for Dressing,55.22,84.13,91.29,74.89,76.38,73.55,*/,*/,*/,*/
..REGION XII (SOCCSKSARGEN),Turkey for Dressing,343.23,320.77,283.55,288.01,308.89,270.37,*/,*/,*/,*/
..REGION XII (SOCCSKSARGEN),Quail Egg,1.63,1.84,1.81,1.82,1.78,1.98,*/,*/,*/,*/
....Cotabato,Horse for Slaughter,50.00,50.00,50.00,50.00,50.00,70.00,*/,*/,*/,*/
....Cotabato,Rabbit for Slaughter,300.00,300.00,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Cotabato,Sheep for Slaughter,223.33,220.00,220.00,223.33,221.67,216.67,*/,*/,*/,*/
....Cotabato,Goose for Dressing,250.00,..,266.67,250.00,255.56,250.00,*/,*/,*/,*/
....Cotabato,Quail for Dressing,110.00,..,125.00,125.00,120.00,83.33,*/,*/,*/,*/
....Cotabato,Turkey for Dressing,350.00,..,350.00,366.67,355.56,350.00,*/,*/,*/,*/
....Cotabato,Quail Egg,1.70,..,1.75,1.75,1.73,1.80,*/,*/,*/,*/
....Sarangani,Horse for Slaughter,150.00,150.00,150.00,150.00,150.00,150.00,*/,*/,*/,*/
....Sarangani,Rabbit for Slaughter,350.00,350.00,350.00,350.00,350.00,350.00,*/,*/,*/,*/
....Sarangani,Sheep for Slaughter,230.00,182.63,230.00,230.00,218.16,230.00,*/,*/,*/,*/
....Sarangani,Goose for Dressing,200.00,200.00,200.00,200.00,200.00,200.00,*/,*/,*/,*/
....Sarangani,Quail for Dressing,100.00,100.00,100.00,100.00,100.00,100.00,*/,*/,*/,*/
....Sarangani,Turkey for Dressing,400.00,350.00,350.00,350.00,362.50,400.00,*/,*/,*/,*/
....Sarangani,Quail Egg,1.80,1.80,1.80,1.80,1.80,1.85,*/,*/,*/,*/
....South Cotabato,Horse for Slaughter,91.67,190.00,150.00,150.00,145.42,150.00,*/,*/,*/,*/
....South Cotabato,Rabbit for Slaughter,250.00,250.00,250.00,250.00,250.00,250.00,*/,*/,*/,*/
....South Cotabato,Sheep for Slaughter,227.56,223.56,225.54,204.68,220.34,199.79,*/,*/,*/,*/
....South Cotabato,Goose for Dressing,283.33,..,250.00,250.00,261.11,250.00,*/,*/,*/,*/
....South Cotabato,Quail for Dressing,110.00,71.09,50.00,61.07,73.04,69.47,*/,*/,*/,*/
....South Cotabato,Turkey for Dressing,500.00,309.78,250.00,250.00,327.45,250.00,*/,*/,*/,*/
....South Cotabato,Quail Egg,1.80,1.95,1.89,1.90,1.88,1.99,*/,*/,*/,*/
....Sultan Kudarat,Horse for Slaughter,50.00,93.33,156.00,66.67,91.50,70.00,*/,*/,*/,*/
....Sultan Kudarat,Rabbit for Slaughter,260.00,260.00,253.33,250.00,255.83,260.00,*/,*/,*/,*/
....Sultan Kudarat,Sheep for Slaughter,290.39,233.95,250.00,253.45,256.95,270.00,*/,*/,*/,*/
....Sultan Kudarat,Goose for Dressing,200.00,270.00,246.67,250.00,241.67,300.00,*/,*/,*/,*/
....Sultan Kudarat,Quail for Dressing,50.00,123.33,..,43.33,72.22,55.00,*/,*/,*/,*/
....Sultan Kudarat,Turkey for Dressing,330.00,316.67,..,283.33,310.00,290.00,*/,*/,*/,*/
....Sultan Kudarat,Quail Egg,1.60,1.72,1.73,1.75,1.70,2.50,*/,*/,*/,*/
..REGION XIII (Caraga),Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
..REGION XIII (Caraga),Rabbit for Slaughter,250.00,250.00,249.78,250.00,249.95,223.40,*/,*/,*/,*/
..REGION XIII (Caraga),Sheep for Slaughter,325.00,268.42,350.00,350.68,323.53,..,*/,*/,*/,*/
..REGION XIII (Caraga),Goose for Dressing,300.00,..,450.00,414.30,388.10,389.80,*/,*/,*/,*/
..REGION XIII (Caraga),Quail for Dressing,..,..,..,66.78,66.78,79.48,*/,*/,*/,*/
..REGION XIII (Caraga),Turkey for Dressing,423.45,378.39,359.65,423.18,396.17,450.03,*/,*/,*/,*/
..REGION XIII (Caraga),Quail Egg,2.10,..,2.35,2.45,2.30,2.33,*/,*/,*/,*/
....Agusan del Norte,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Agusan del Norte,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Agusan del Norte,Sheep for Slaughter,..,218.80,..,..,218.80,..,*/,*/,*/,*/
....Agusan del Norte,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Agusan del Norte,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Agusan del Norte,Turkey for Dressing,420.00,380.00,350.00,..,383.33,500.00,*/,*/,*/,*/
....Agusan del Norte,Quail Egg,..,2.00,2.50,2.50,2.33,2.91,*/,*/,*/,*/
....Agusan del Sur,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Agusan del Sur,Rabbit for Slaughter,250.00,250.00,250.00,250.00,250.00,223.33,*/,*/,*/,*/
....Agusan del Sur,Sheep for Slaughter,325.00,325.00,350.00,363.89,340.97,..,*/,*/,*/,*/
....Agusan del Sur,Goose for Dressing,300.00,350.00,450.00,416.67,379.17,400.00,*/,*/,*/,*/
....Agusan del Sur,Quail for Dressing,..,..,..,75.00,75.00,70.00,*/,*/,*/,*/
....Agusan del Sur,Turkey for Dressing,450.00,360.00,500.00,433.33,435.83,448.08,*/,*/,*/,*/
....Agusan del Sur,Quail Egg,2.00,2.00,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....Dinagat Islands,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Dinagat Islands,Rabbit for Slaughter,..,..,200.00,250.00,225.00,250.00,*/,*/,*/,*/
....Dinagat Islands,Sheep for Slaughter,..,250.00,..,220.00,235.00,..,*/,*/,*/,*/
....Dinagat Islands,Goose for Dressing,..,..,..,300.00,300.00,300.00,*/,*/,*/,*/
....Dinagat Islands,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Dinagat Islands,Turkey for Dressing,..,..,350.00,350.00,350.00,350.00,*/,*/,*/,*/
....Dinagat Islands,Quail Egg,2.00,..,2.00,2.00,2.00,2.00,*/,*/,*/,*/
....Surigao del Norte,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Surigao del Norte,Rabbit for Slaughter,..,..,227.27,..,227.27,..,*/,*/,*/,*/
....Surigao del Norte,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Surigao del Norte,Goose for Dressing,..,..,..,..,..,133.33,*/,*/,*/,*/
....Surigao del Norte,Quail for Dressing,..,..,..,10.00,10.00,119.00,*/,*/,*/,*/
....Surigao del Norte,Turkey for Dressing,400.00,362.67,310.06,380.75,363.37,393.95,*/,*/,*/,*/
....Surigao del Norte,Quail Egg,2.50,3.00,2.83,2.97,2.82,3.00,*/,*/,*/,*/
....Surigao del Sur,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Surigao del Sur,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Surigao del Sur,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Surigao del Sur,Goose for Dressing,..,..,..,..,..,290.67,*/,*/,*/,*/
....Surigao del Sur,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Surigao del Sur,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Surigao del Sur,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....City of Butuan,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....City of Butuan,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....City of Butuan,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....City of Butuan,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....City of Butuan,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....City of Butuan,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....City of Butuan,Quail Egg,..,..,..,..,..,3.00,*/,*/,*/,*/
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Horse for Slaughter,..,110.00,120.00,120.88,116.96,146.49,*/,*/,*/,*/
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Rabbit for Slaughter,350.00,350.00,315.38,303.33,329.68,350.00,*/,*/,*/,*/
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Sheep for Slaughter,233.33,300.37,311.18,165.33,252.55,195.22,*/,*/,*/,*/
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Goose for Dressing,325.00,..,307.67,300.00,310.89,303.23,*/,*/,*/,*/
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Quail for Dressing,118.00,..,..,..,118.00,..,*/,*/,*/,*/
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Turkey for Dressing,340.00,..,321.99,321.75,327.91,323.33,*/,*/,*/,*/
..BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Basilan,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Basilan,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Basilan,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Basilan,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Basilan,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Basilan,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Basilan,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Lanao del Sur,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Lanao del Sur,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Lanao del Sur,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Lanao del Sur,Goose for Dressing,..,..,..,..,..,300.00,*/,*/,*/,*/
....Lanao del Sur,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Lanao del Sur,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Lanao del Sur,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Maguindanao,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Maguindanao,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Maguindanao,Sheep for Slaughter,233.33,..,..,..,233.33,..,*/,*/,*/,*/
....Maguindanao,Goose for Dressing,325.00,..,..,..,325.00,..,*/,*/,*/,*/
....Maguindanao,Quail for Dressing,118.00,..,..,..,118.00,..,*/,*/,*/,*/
....Maguindanao,Turkey for Dressing,340.00,..,..,..,340.00,..,*/,*/,*/,*/
....Maguindanao,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Maguindanao del Norte c/,Horse for Slaughter,..,110.00,120.00,120.00,116.67,121.67,*/,*/,*/,*/
....Maguindanao del Norte c/,Rabbit for Slaughter,..,350.00,350.00,303.33,334.44,350.00,*/,*/,*/,*/
....Maguindanao del Norte c/,Sheep for Slaughter,..,302.59,263.33,165.33,243.75,190.00,*/,*/,*/,*/
....Maguindanao del Norte c/,Goose for Dressing,..,..,315.00,300.00,307.50,303.33,*/,*/,*/,*/
....Maguindanao del Norte c/,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Maguindanao del Norte c/,Turkey for Dressing,..,..,325.00,320.00,322.50,323.33,*/,*/,*/,*/
....Maguindanao del Norte c/,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Maguindanao del Sur c/,Horse for Slaughter,..,110.00,120.00,121.67,117.22,173.10,*/,*/,*/,*/
....Maguindanao del Sur c/,Rabbit for Slaughter,..,350.00,300.00,303.33,317.78,..,*/,*/,*/,*/
....Maguindanao del Sur c/,Sheep for Slaughter,..,298.33,358.05,165.33,273.90,200.00,*/,*/,*/,*/
....Maguindanao del Sur c/,Goose for Dressing,..,..,298.33,300.00,299.17,303.33,*/,*/,*/,*/
....Maguindanao del Sur c/,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Maguindanao del Sur c/,Turkey for Dressing,..,..,319.17,323.33,321.25,323.33,*/,*/,*/,*/
....Maguindanao del Sur c/,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Sulu,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Sulu,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Sulu,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Sulu,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Sulu,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Sulu,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Sulu,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Tawi-tawi,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Tawi-tawi,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Tawi-tawi,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Tawi-tawi,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Tawi-tawi,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Tawi-tawi,Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Tawi-tawi,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
