Type of Valuation,Subsector,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2000 January to June,2000 January to September,2000 January to December,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2001 January to June,2001 January to September,2001 January to December,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2002 January to June,2002 January to September,2002 January to December,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2003 January to June,2003 January to September,2003 January to December,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2004 January to June,2004 January to September,2004 January to December,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2005 January to June,2005 January to September,2005 January to December,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2006 January to June,2006 January to September,2006 January to December,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2007 January to June,2007 January to September,2007 January to December,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2008 January to June,2008 January to September,2008 January to December,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2009 January to June,2009 January to September,2009 January to December,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2010 January to June,2010 January to September,2010 January to December,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2011 January to June,2011 January to September,2011 January to December,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2012 January to June,2012 January to September,2012 January to December,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 January to June,2013 January to September,2013 January to December,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 January to June,2014 January to September,2014 January to December,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 January to June,2015 January to September,2015 January to December,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 January to June,2016 January to September,2016 January to December,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 January to June,2017 January to September,2017 January to December,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 January to June,2018 January to September,2018 January to December,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 January to June,2019 January to September,2019 January to December,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 January to June,2020 January to September,2020 January to December,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 January to June,2021 January to September,2021 January to December,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 January to June,2022 January to September,2022 January to December,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 January to June,2023 January to September,2023 January to December,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 January to June,2024 January to September,2024 January to December,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 January to June,2025 January to September,2025 January to December,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 January to June,2026 January to September,2026 January to December
Constant 2018 Prices,POULTRY,33491.08,27323.15,28835.73,37575.40,60814.24,89649.97,127225.37,35255.91,28422.10,31489.08,41761.92,63678.01,95167.09,136929.01,36377.21,29666.21,34189.94,45191.12,66043.42,100233.36,145424.47,38225.10,30581.48,35133.20,44289.13,68806.58,103939.78,148228.90,39553.65,30817.03,37205.46,46949.26,70370.68,107576.14,154525.40,42204.35,31554.11,35596.25,45430.30,73758.46,109354.70,154785.00,40643.03,31997.51,36382.03,45192.41,72640.54,109022.57,154214.98,39312.49,37241.80,38260.75,40155.31,76554.29,114815.04,154970.34,40732.20,39067.54,40224.59,42245.53,79799.75,120024.33,162269.87,42415.36,40805.46,40796.76,41300.82,83220.82,124017.58,165318.40,43235.44,42044.55,42711.75,43431.76,85279.98,127991.73,171423.49,44921.03,43420.16,44736.94,45757.12,88341.20,133078.14,178835.26,48103.99,45132.27,46036.33,47635.39,93236.25,139272.58,186907.97,49620.19,47829.82,47887.35,49443.18,97450.01,145337.35,194780.53,50263.20,47855.62,46078.22,50946.85,98118.82,144197.04,195143.89,52953.06,50243.55,50082.57,53125.62,103196.62,153279.18,206404.80,53498.04,50887.40,51374.33,53602.35,104385.44,155759.77,209362.12,54547.35,55108.74,53162.96,56225.15,109656.10,162819.06,219044.21,57398.41,57979.14,56107.16,60170.32,115377.55,171484.71,231655.03,60473.98,60403.07,60813.14,63591.10,120877.04,181690.18,245281.29,60573.96,57534.76,58523.08,60077.86,118108.72,176631.81,236709.67,56052.77,58987.39,59259.53,61689.38,115040.16,174299.69,235989.07,62960.96,63614.58,63059.88,62786.17,126575.53,189635.42,252421.59,64945.49,64538.80,64891.75,67652.21,129484.29,194376.04,262028.25,68761.12,70175.26,68661.78,71808.37,138936.38,207598.16,279406.52,75496.25,75074.95,75960.88,78177.55,150571.20,226532.08,304709.63,80832.21,.,.,.,.,.,.
Constant 2018 Prices,..Chicken,25032.58,18930.00,20360.90,28256.76,43962.58,64323.48,92580.24,26702.01,19818.03,22831.16,32353.19,46520.05,69351.21,101704.40,27626.73,20672.78,25065.50,35363.51,48299.52,73365.02,108728.53,28851.52,21549.16,25790.57,33934.70,50400.68,76191.26,110125.96,29595.00,21295.27,27148.83,36019.34,50890.28,78039.11,114058.45,31588.06,21452.40,25392.44,34225.27,53040.46,78432.90,112658.18,30028.06,21654.94,26150.96,33929.53,51683.00,77833.96,111763.48,28505.48,27227.17,27987.84,28951.02,55732.65,83720.48,112671.51,29687.62,28902.25,29797.98,30756.32,58589.87,88387.85,119144.17,30983.93,30038.34,30156.16,29886.45,61022.28,91178.43,121064.89,31544.91,30861.85,31644.96,31819.64,62406.76,94051.72,125871.36,32732.78,32043.05,33335.52,33438.99,64775.82,98111.34,131550.34,35148.12,33117.43,34073.12,35246.35,68265.55,102338.67,137585.02,36448.92,35406.32,35711.46,37045.57,71855.25,107566.70,144612.28,37369.84,36098.15,34666.12,37971.32,73467.98,108134.10,146105.42,39342.47,38076.65,37707.54,39331.75,77419.12,115126.66,154458.41,39229.62,38066.95,38419.31,39994.78,77296.57,115715.88,155710.66,39829.18,41615.33,39387.73,41506.81,81444.51,120832.25,162339.06,41791.08,43508.87,41084.70,44339.19,85299.95,126384.65,170723.84,43605.73,44863.72,44570.62,46169.72,88469.44,133040.06,179209.79,43098.81,41373.57,41372.36,42507.48,84472.38,125844.74,168352.22,38258.80,40726.11,40809.18,42390.23,78984.91,119794.10,162184.33,43223.55,43547.62,43538.87,43363.67,86771.17,130310.04,173673.71,44664.69,44924.32,44553.30,46863.72,89589.01,134142.31,181006.03,48090.89,48941.30,47216.41,49210.33,97032.19,144248.60,193458.93,52571.36,52943.50,53050.98,53845.26,105514.85,158565.83,212411.09,55613.33,.,.,.,.,.,.
Constant 2018 Prices,..Duck,1324.07,1152.22,1260.57,1500.99,2476.29,3736.86,5237.86,1365.91,1186.61,1294.01,1599.01,2552.52,3846.53,5445.54,1331.53,1242.56,1277.39,1657.26,2574.09,3851.48,5508.74,1343.83,1236.40,1261.19,1645.36,2580.23,3841.42,5486.78,1320.39,1220.18,1249.63,1624.90,2540.57,3790.20,5415.10,1333.95,1252.62,1053.99,1392.64,2586.57,3640.55,5033.19,1189.15,1168.34,962.87,1356.73,2357.49,3320.36,4677.09,1123.29,1105.51,928.40,1157.77,2228.81,3157.21,4314.98,1068.18,917.34,914.99,1082.92,1985.53,2900.52,3983.44,1003.87,847.64,830.48,966.42,1851.51,2681.99,3648.41,913.41,717.88,766.39,952.75,1631.30,2397.69,3350.44,906.34,685.13,763.09,1015.28,1591.48,2354.57,3369.85,921.16,665.73,791.47,1062.77,1586.89,2378.36,3441.14,935.69,639.45,762.78,1166.32,1575.14,2337.92,3504.25,937.24,643.45,759.38,1180.52,1580.69,2340.07,3520.59,944.21,677.23,760.00,1067.78,1621.44,2381.44,3449.22,947.12,644.48,771.66,906.19,1591.60,2363.26,3269.45,948.47,584.73,759.17,860.68,1533.21,2292.38,3153.06,929.01,573.13,753.81,869.13,1502.14,2255.95,3125.08,931.43,547.57,775.99,796.78,1479.00,2254.99,3051.77,874.11,505.03,793.57,826.03,1379.14,2172.71,2998.74,772.76,698.72,776.55,708.79,1471.48,2248.03,2956.82,606.65,646.06,682.43,739.09,1252.71,1935.14,2674.22,604.81,692.22,707.26,743.83,1297.04,2004.30,2748.13,614.79,701.02,684.32,746.21,1315.81,2000.12,2746.34,624.16,693.17,688.61,756.56,1317.33,2005.94,2762.50,642.28,.,.,.,.,.,.
Constant 2018 Prices,..Chicken Eggs,5927.30,5954.00,6049.09,6372.29,11881.30,17930.39,24302.69,5960.79,6059.29,6145.04,6465.90,12020.08,18165.12,24631.01,6172.35,6357.37,6625.57,6895.83,12529.72,19155.29,26051.12,6800.13,6402.72,6863.51,7389.33,13202.85,20066.36,27455.69,7363.67,6823.78,7480.79,7965.09,14187.45,21668.24,29633.33,8045.96,7379.92,7980.23,8604.62,15425.88,23406.12,32010.73,8230.95,7843.72,8172.13,8750.15,16074.67,24246.80,32996.95,8555.93,7695.02,8279.47,8965.42,16250.95,24530.41,33495.83,8999.56,8194.30,8494.33,9389.28,17193.86,25688.20,35077.48,9474.16,8961.21,8853.47,9531.53,18435.38,27288.85,36820.38,9893.70,9578.63,9407.26,9818.24,19472.33,28879.59,38697.82,10382.09,9778.80,9746.25,10408.80,20160.90,29907.15,40315.95,11100.90,10349.93,10252.94,10381.88,21450.84,31703.78,42085.66,11273.31,10716.48,10498.73,10253.42,21989.79,32488.52,42741.94,11007.18,10078.84,9697.13,10770.69,21086.02,30783.15,41553.84,11700.15,10427.31,10657.42,11663.19,22127.47,32784.89,44448.08,12329.89,11089.93,11185.77,11559.89,23419.82,34605.59,46165.48,12716.22,11742.70,12043.26,12712.09,24458.92,36502.18,49214.27,13659.40,12674.99,13240.32,13781.73,26334.39,39574.71,53356.43,14858.64,13676.33,14411.39,15341.93,28534.97,42946.36,58288.29,15503.22,14353.29,15277.92,15405.43,29856.50,45134.42,60539.85,15909.11,16236.85,16518.45,17366.63,32145.96,48664.41,66031.03,17888.39,17943.05,17522.08,17407.35,35831.45,53353.53,70760.87,18386.35,17571.67,18343.57,18764.96,35958.02,54301.59,73066.55,18821.22,19171.48,19546.73,20611.53,37992.70,57539.43,78150.97,21093.84,20087.00,21059.52,22454.75,41180.85,62240.37,84695.12,23327.74,.,.,.,.,.,.
Constant 2018 Prices,..Duck Eggs,1207.13,1286.93,1165.16,1445.36,2494.06,3659.23,5104.58,1227.21,1358.16,1218.88,1343.82,2585.37,3804.25,5148.06,1246.60,1393.49,1221.47,1274.51,2640.10,3861.57,5136.08,1229.62,1393.21,1217.92,1319.73,2622.83,3840.74,5160.48,1274.59,1477.79,1326.21,1339.93,2752.39,4078.59,5418.52,1236.37,1469.17,1169.58,1207.77,2705.55,3875.13,5082.90,1194.87,1330.50,1096.08,1156.00,2525.38,3621.45,4777.45,1127.79,1214.10,1065.04,1081.10,2341.89,3406.93,4488.03,976.84,1053.64,1017.29,1017.01,2030.49,3047.77,4064.78,953.39,958.26,956.65,916.42,1911.65,2868.30,3784.72,883.41,886.18,893.14,841.14,1769.60,2662.74,3503.88,899.82,913.18,892.08,894.04,1813.00,2705.08,3599.12,933.80,999.18,918.79,944.39,1932.98,2851.77,3796.16,962.27,1067.57,914.37,977.85,2029.83,2944.21,3922.06,948.95,1035.17,955.60,1024.31,1984.12,2939.72,3964.03,966.22,1062.36,957.61,1062.90,2028.58,2986.20,4049.10,991.42,1086.04,997.59,1141.49,2077.45,3075.04,4216.53,1053.48,1165.98,972.80,1145.57,2219.45,3192.25,4337.82,1018.92,1222.15,1028.34,1180.27,2241.07,3269.41,4449.68,1078.18,1315.44,1055.14,1282.66,2393.63,3448.77,4731.44,1097.83,1302.87,1079.23,1338.92,2400.70,3479.93,4818.85,1112.10,1325.72,1155.35,1223.72,2437.82,3593.16,4816.89,1242.36,1477.84,1316.50,1276.07,2720.21,4036.71,5312.78,1289.65,1350.58,1287.62,1279.70,2640.22,3927.84,5207.54,1234.22,1361.46,1214.32,1240.30,2595.67,3809.99,5050.29,1206.89,1351.28,1161.78,1120.99,2558.17,3719.94,4840.93,1248.87,.,.,.,.,.,.
Constant 2018 Prices,FISHERIES,48770.53,51687.57,53489.00,51911.16,100458.10,153947.10,205858.26,50141.93,54792.16,55303.23,53793.29,104934.09,160237.32,214030.60,53187.61,55478.40,55594.46,55330.42,108666.01,164260.46,219590.89,53862.06,59795.89,58146.30,61292.10,113657.95,171804.25,233096.35,57828.16,60469.14,59770.07,64337.82,118297.30,178067.36,242405.18,58483.66,62345.36,61999.39,67802.58,120829.02,182828.40,250630.99,61206.50,69527.01,63912.59,69503.92,130733.51,194646.10,264150.01,67642.89,75271.41,71831.28,73530.71,142914.30,214745.58,288276.29,70509.72,77394.54,72524.94,78301.81,147904.26,220429.20,298731.01,71448.33,77606.18,69783.01,76172.61,149054.51,218837.52,295010.13,69921.21,77133.10,73345.88,78637.70,147054.31,220400.19,299037.89,66140.20,76148.01,68511.04,76288.09,142288.21,210799.25,287087.34,63850.44,73080.13,69696.71,78889.60,136930.57,206627.28,285516.89,67327.01,75237.28,70279.51,74715.10,142564.29,212843.80,287558.90,65327.97,73536.20,68590.97,77281.52,138864.17,207455.14,284736.66,63232.67,73332.10,69173.34,74181.53,136564.76,205738.10,279919.64,59547.59,69636.72,67440.19,72429.56,129184.31,196624.50,269054.06,60700.57,68571.11,66016.49,72028.11,129271.68,195288.18,267316.29,58908.02,68266.71,64358.37,73815.59,127174.73,191533.10,265348.68,59119.73,70292.26,64739.50,75263.19,129412.00,194151.49,269414.69,57329.29,70981.62,65964.42,71548.62,128310.90,194275.33,265823.95,57463.00,70223.54,65972.65,72331.44,127686.55,193659.19,265990.63,54141.78,68559.88,62545.60,67457.40,122701.66,185247.27,252704.67,54420.47,59071.35,58708.00,63899.74,113491.82,172199.82,236099.57,54306.35,61292.22,56056.75,63674.40,115598.56,171655.31,235329.71,55735.09,60021.73,55560.79,67673.50,115756.82,171317.61,238991.10,52337.33,.,.,.,.,.,.
Constant 2018 Prices,..Milkfish,4357.98,6026.25,5576.52,5718.20,10384.23,15960.75,21678.95,4598.07,6595.88,6165.75,5897.95,11193.95,17359.70,23257.65,4989.32,5935.21,6669.58,6400.12,10924.53,17594.11,23994.23,5313.61,6659.97,6786.06,6775.72,11973.58,18759.64,25535.36,5492.93,7390.73,7245.07,8125.00,12883.65,20128.73,28253.73,5753.08,7706.27,7852.68,8562.39,13459.35,21312.03,29874.42,6096.43,8733.61,9009.90,9020.66,14830.04,23839.94,32860.60,6168.50,9176.95,9962.73,10992.76,15345.45,25308.18,36300.95,7037.52,8734.24,9666.00,11130.43,15771.76,25437.76,36568.18,7149.33,9205.67,10451.78,10031.66,16355.00,26806.78,36838.45,6914.98,9166.65,10575.08,10285.56,16081.62,26656.70,36942.27,7198.02,9420.39,10725.43,11685.89,16618.41,27343.84,39029.73,7242.42,9941.93,11128.46,12056.35,17184.35,28312.81,40369.16,7940.30,10457.69,11459.49,12001.67,18397.99,29857.48,41859.15,7772.88,10223.40,11085.89,12374.30,17996.28,29082.17,41456.47,7767.65,9945.23,11174.74,11634.06,17712.88,28887.62,40521.68,7580.57,10101.59,11608.12,12258.29,17682.15,29290.28,41548.56,7375.20,11009.44,11522.97,13017.18,18384.65,29907.62,42924.79,6831.23,10630.15,10610.09,13153.91,17461.38,28071.47,41225.38,6507.93,10479.69,12000.67,13812.07,16987.62,28988.29,42800.37,6871.72,10711.65,11272.22,14527.35,17583.36,28855.59,43382.93,6956.31,12055.94,12384.03,14607.56,19012.25,31396.28,46003.84,6074.32,10132.47,10718.93,13280.89,16206.79,26925.72,40206.61,6500.72,8201.25,9436.31,12512.85,14701.97,24138.28,36651.12,5979.23,7829.02,9568.34,13907.06,13808.25,23376.59,37283.65,6444.71,7737.40,8644.94,18622.39,14182.11,22827.05,41449.44,6127.13,.,.,.,.,.,.
Constant 2018 Prices,..Tilapia,2530.64,2370.26,1796.68,3006.54,4900.90,6697.57,9704.11,2711.44,2724.99,2149.27,2913.68,5436.43,7585.70,10499.38,2959.87,3257.58,2053.63,3278.87,6217.45,8271.08,11549.96,3044.13,3588.47,2366.51,3709.51,6632.60,8999.11,12708.62,3321.55,3743.94,2612.15,3751.92,7065.50,9677.65,13429.57,3685.83,3848.93,2952.61,4300.44,7534.76,10487.37,14787.81,5890.78,4195.82,3677.54,4495.68,10086.60,13764.14,18259.82,6807.60,4675.77,4452.50,5131.68,11483.37,15935.87,21067.55,7689.55,4960.70,4707.10,5282.57,12650.25,17357.36,22639.93,7926.35,5271.56,4918.02,4839.73,13197.91,18115.93,22955.66,7722.86,5288.69,4542.17,5367.15,13011.55,17553.72,22920.87,7530.48,5361.78,4521.07,5467.98,12892.26,17413.33,22881.31,7535.69,5516.88,4473.95,5719.62,13052.57,17526.52,23246.14,7753.59,5629.53,4562.99,6045.63,13383.12,17946.10,23991.74,7741.96,5963.76,4184.85,5734.82,13705.72,17890.58,23625.40,7525.82,5782.30,4220.11,5991.07,13308.12,17528.23,23519.30,7153.89,5679.54,4073.75,5782.42,12833.43,16907.18,22689.60,7302.47,6051.19,4064.43,6037.41,13353.67,17418.10,23455.51,6905.67,6172.73,4628.63,6546.15,13078.39,17707.03,24253.18,6686.22,6211.30,4352.00,7025.42,12897.52,17249.53,24274.95,6657.35,5956.09,4337.95,6022.02,12613.43,16951.39,22973.41,7188.87,6807.15,4584.13,7096.61,13996.02,18580.14,25676.75,6729.39,5998.08,4148.49,6063.22,12727.47,16875.96,22939.18,7457.60,5724.52,4435.40,5608.34,13182.11,17617.51,23225.85,8112.39,5470.77,4340.33,5488.88,13583.16,17923.48,23412.37,8290.33,5620.84,4474.42,5778.28,13911.17,18385.58,24163.87,8093.48,.,.,.,.,.,.
Constant 2018 Prices,..Tiger Prawn,5154.55,5545.17,3700.16,5268.80,10699.72,14399.88,19668.68,4631.56,5881.22,4250.56,4949.13,10512.79,14763.34,19712.47,4961.60,4011.09,4051.55,4125.76,8972.69,13024.24,17150.00,4489.47,4100.61,3995.44,4326.74,8590.08,12585.53,16912.26,4421.49,4214.07,4035.89,4701.50,8635.56,12671.45,17372.95,4625.62,4166.76,4415.25,5022.04,8792.37,13207.63,18229.66,4457.74,4331.45,4330.52,5369.13,8789.20,13119.71,18488.85,5157.24,4503.65,4369.80,5276.39,9660.88,14030.69,19307.08,5525.34,6293.12,4752.64,5450.79,11818.46,16571.09,22021.88,5662.10,6954.33,4768.98,5926.36,12616.43,17385.41,23311.77,5185.40,7792.61,4527.85,5942.20,12978.01,17505.86,23448.05,4789.55,8042.43,4413.58,5890.70,12831.98,17245.56,23136.25,4719.90,7212.59,4995.30,6471.56,11932.49,16927.80,23399.36,4613.77,6588.84,4933.92,7898.15,11202.61,16136.53,24034.68,4593.18,6057.46,4697.00,7912.35,10650.65,15347.64,23260.00,4677.22,6707.79,4799.02,7890.05,11385.01,16184.03,24074.08,4428.85,7218.89,4439.12,7844.22,11647.74,16086.86,23931.08,4284.73,6164.59,4474.80,7461.42,10449.31,14924.11,22385.53,4220.14,5887.59,4213.42,7464.16,10107.73,14321.16,21785.31,4182.61,6160.94,3924.80,8108.83,10343.55,14268.35,22377.18,4111.04,6299.82,3480.45,6780.21,10410.86,13891.30,20671.51,4128.63,6219.59,3535.64,6682.24,10348.22,13883.87,20566.11,3663.79,4336.24,2812.40,5719.01,8000.04,10812.44,16531.45,2775.34,4375.23,1434.60,4840.02,7150.57,8585.17,13425.19,2874.29,2613.42,1152.54,4698.65,5487.71,6640.24,11338.89,2643.67,2630.05,1019.25,4491.05,5273.72,6292.96,10784.02,2568.81,.,.,.,.,.,.
Constant 2018 Prices,..Skipjack,1936.59,1719.84,1611.88,1375.78,3656.43,5268.31,6644.09,2028.21,1787.91,1629.99,1443.77,3816.12,5446.10,6889.87,2156.09,2008.33,1630.20,1502.62,4164.41,5794.61,7297.23,2592.95,2118.56,2427.16,2107.87,4711.51,7138.67,9246.54,2869.54,2122.40,2007.50,2562.53,4991.94,6999.44,9561.97,2953.83,1936.69,2128.37,2568.18,4890.52,7018.89,9587.07,2827.40,2829.03,2509.14,2761.38,5656.44,8165.57,10926.95,3513.43,2677.08,2988.22,3259.99,6190.51,9178.73,12438.72,3753.80,3329.68,3626.77,4128.31,7083.49,10710.26,14838.57,4117.77,4314.99,3309.89,4964.39,8432.76,11742.65,16707.04,4317.22,2892.99,3709.17,4406.94,7210.21,10919.39,15326.33,3392.65,3242.59,3042.23,3470.11,6635.24,9677.47,13147.58,2891.53,3036.93,3726.16,4161.33,5928.46,9654.62,13815.95,3787.49,3511.80,3477.29,3364.72,7299.29,10776.59,14141.31,4032.45,4003.08,3692.60,3829.69,8035.53,11728.13,15557.81,3641.29,4217.51,3786.22,3862.86,7858.81,11645.03,15507.88,3066.01,3457.87,4175.15,4007.05,6523.88,10699.03,14706.08,4386.42,3704.70,4246.27,4220.90,8091.12,12337.39,16558.29,4693.75,4045.20,4176.23,4331.15,8738.96,12915.18,17246.33,4801.49,3709.94,4512.85,4826.69,8511.43,13024.28,17850.97,3763.67,4444.45,4529.09,4612.33,8208.12,12737.20,17349.53,4646.69,3913.26,4001.87,3656.81,8559.95,12561.82,16218.63,3701.64,4587.87,4246.12,4526.69,8289.51,12535.64,17062.32,3759.02,2330.42,3706.60,4468.81,6089.44,9796.04,14264.84,4841.52,5645.53,4247.65,4087.28,10487.05,14734.69,18821.97,4422.92,3709.17,5051.39,5231.04,8132.10,13183.48,18414.52,4040.11,.,.,.,.,.,.
Constant 2018 Prices,..Roundscad,4380.81,4792.39,3939.35,3905.80,9173.20,13112.55,17018.35,4582.60,4973.09,3981.82,4095.18,9555.69,13537.52,17632.69,4865.27,5663.51,3986.81,4248.14,10528.78,14515.58,18763.72,5117.36,6208.10,4481.54,5279.42,11325.46,15807.00,21086.42,5050.07,5623.81,4417.62,4860.69,10673.87,15091.49,19952.18,4580.01,5371.77,4715.82,4398.69,9951.78,14667.60,19066.29,4103.93,5479.51,3971.72,4051.51,9583.44,13555.16,17606.67,4374.79,5968.28,7350.15,4076.06,10343.07,17693.22,21769.28,4354.05,5813.21,5341.14,4470.24,10167.26,15508.40,19978.64,4123.46,4563.28,3844.38,4029.98,8686.74,12531.12,16561.10,4482.72,5095.57,4592.16,4026.45,9578.29,14170.44,18196.89,3894.24,4722.91,3975.43,3652.18,8617.15,12592.58,16244.76,3843.17,4437.83,3897.31,3678.57,8281.00,12178.31,15856.89,4981.65,5586.83,4273.00,3387.75,10568.48,14841.48,18229.23,4648.49,5518.64,3821.03,3570.64,10167.13,13988.16,17558.80,3750.02,4664.88,3694.26,3094.10,8414.91,12109.17,15203.27,3302.93,4600.40,3461.73,2932.63,7903.33,11365.05,14297.68,2969.84,3725.82,3327.86,2344.48,6695.66,10023.52,12368.01,2542.65,3512.15,3101.45,2452.04,6054.80,9156.26,11608.30,3468.01,3950.33,2999.74,2293.77,7418.35,10418.09,12711.86,3205.20,4698.56,3384.93,2267.79,7903.76,11288.69,13556.47,2706.30,3842.80,3109.76,2627.21,6549.10,9658.86,12286.06,2651.76,3679.98,2942.18,2365.67,6331.74,9273.91,11639.58,2299.92,4808.75,3404.92,2340.50,7108.67,10513.59,12854.09,2747.05,4092.37,2692.76,1912.00,6839.41,9532.17,11444.17,2204.31,4885.58,2686.65,1574.61,7089.89,9776.54,11351.15,3275.12,.,.,.,.,.,.
Constant 2018 Prices,..Seaweed,1307.84,1175.46,952.52,1669.01,2483.29,3435.82,5104.82,1286.36,1345.39,1025.41,2071.26,2631.75,3657.16,5728.42,1330.16,1421.53,1288.47,2539.22,2751.69,4040.17,6579.39,1258.77,1476.98,1280.94,3387.17,2735.75,4016.69,7403.86,1998.53,1832.55,1436.75,3602.56,3831.09,5267.84,8870.41,2218.07,1864.11,1639.98,4176.24,4082.19,5722.16,9898.41,2436.38,2094.39,1876.54,4423.28,4530.77,6407.31,10830.59,2561.47,2141.81,1960.46,4403.62,4703.29,6663.75,11067.37,2609.25,2217.83,2228.34,5314.32,4827.08,7055.42,12369.74,2725.59,2320.19,2314.07,5555.71,5045.77,7359.84,12915.56,2780.17,2449.22,2368.74,5778.54,5229.39,7598.13,13376.67,2988.04,2633.95,2335.18,5639.70,5621.99,7957.16,13596.86,2875.25,2559.07,2243.04,5224.27,5434.31,7677.36,12901.63,2491.63,2396.70,2266.03,4259.85,4888.33,7154.37,11414.22,2395.58,2291.19,2153.31,4587.12,4686.78,6840.08,11427.21,2390.79,2296.79,2179.67,4699.82,4687.58,6867.25,11567.06,2227.74,1920.83,1986.17,4241.88,4148.57,6134.74,10376.62,2255.81,1956.42,1993.59,4242.13,4212.23,6205.82,10447.95,2261.35,2124.32,2096.53,4437.49,4385.67,6482.20,10919.70,2244.84,2062.40,2197.55,4605.71,4307.24,6504.79,11110.50,2231.04,2084.09,2173.21,4354.70,4315.13,6488.33,10843.03,2165.58,2073.96,2093.09,3471.93,4239.54,6332.63,9804.56,2363.18,2565.97,2318.32,4035.16,4929.15,7247.47,11282.63,2339.41,2434.27,2642.31,4550.52,4773.68,7415.99,11966.51,2329.53,1806.30,2579.78,3974.08,4135.83,6715.61,10689.68,2460.19,1915.65,2175.46,3453.66,4375.84,6551.29,10004.96,1624.38,.,.,.,.,.,.
Constant 2018 Prices,..Yellowfin Tuna,1702.89,2291.73,2504.51,1803.41,3994.61,6499.12,8302.53,1787.52,2389.53,2540.39,1892.12,4177.05,6717.44,8609.56,1904.92,2622.97,2521.40,1967.67,4527.88,7049.28,9016.95,1777.03,3394.82,3330.94,3048.25,5171.85,8502.79,11551.04,2255.01,3348.88,3182.55,2917.04,5603.89,8786.44,11703.48,2695.38,3413.14,3149.22,2954.80,6108.52,9257.74,12212.55,2213.19,3750.52,3108.71,3114.65,5963.71,9072.42,12187.07,2650.55,4565.67,3581.17,3656.35,7216.22,10797.39,14453.75,3450.91,5884.66,3893.85,4845.33,9335.58,13229.43,18074.76,3758.03,4753.97,3374.07,4405.74,8512.00,11886.06,16291.81,3246.66,4257.91,4087.65,4188.83,7504.57,11592.22,15781.05,2863.85,3761.33,3045.82,3495.80,6625.18,9671.00,13166.80,2598.58,3576.68,3368.65,3881.61,6175.26,9543.91,13425.52,3053.28,3922.76,3661.02,3306.97,6976.04,10637.06,13944.02,2999.30,3844.73,3597.00,4535.89,6844.03,10441.03,14976.92,3221.46,4578.81,3746.87,3823.79,7800.27,11547.14,15370.93,2693.21,3101.83,2840.21,2386.02,5795.04,8635.25,11021.27,3238.02,2515.77,2560.27,3049.36,5753.79,8314.06,11363.42,2866.88,2465.65,2178.02,2533.41,5332.53,7510.55,10043.96,2556.94,3199.84,2064.52,2789.83,5756.78,7821.30,10611.13,2077.70,3322.07,2400.28,2385.07,5399.77,7800.05,10185.12,1711.85,2160.71,1924.45,2137.27,3872.56,5797.01,7934.28,1839.71,2383.23,2454.62,2407.00,4222.94,6677.56,9084.56,1940.92,1841.39,3151.60,2567.62,3782.31,6933.91,9501.53,2189.43,2648.28,2627.67,2358.46,4837.71,7465.38,9823.83,2286.91,2802.03,2577.78,2625.46,5088.95,7666.73,10292.19,1975.68,.,.,.,.,.,.
