Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2002 Annual,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2003 Annual,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2004 Annual,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2005 Annual,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2006 Annual,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2007 Annual,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2008 Annual,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2009 Annual,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual
..Snapper (Maya-maya),..Region VIII (Eastern Visayas),146.00,139.00,133.00,149.00,567.00,173.00,192.00,210.00,157.00,732.00,190.00,208.35,241.87,211.10,851.32,233.57,318.95,412.50,355.25,1320.27,303.50,384.90,397.03,340.08,1425.51,312.98,463.24,358.09,388.89,1523.20,375.91,554.83,424.83,636.82,1992.39,301.83,217.00,303.95,696.02,1518.80,408.99,375.23,403.26,734.49,1921.97,329.26,438.35,294.45,412.88,1474.94,326.12,399.35,274.86,402.00,1402.33,243.54,393.49,268.64,163.86,1069.53,202.49,441.76,336.18,293.59,1274.02,218.27,486.73,325.12,260.60,1290.72,177.87,486.27,363.36,341.47,1368.97,354.33,381.86,213.30,346.88,1296.37,232.87,183.96,266.26,349.61,1032.70,780.33,416.98,451.20,813.24,2461.75,712.02,528.13,620.27,585.15,2445.57,646.33,680.69,..,..,..
..Snapper (Maya-maya),....Biliran,3.00,3.00,3.00,3.00,12.00,1.00,2.00,4.00,3.00,10.00,1.00,2.30,3.37,3.10,9.77,1.25,19.00,22.00,4.00,46.25,2.50,18.80,21.50,4.45,47.25,6.67,15.50,20.95,9.82,52.94,10.65,12.62,12.46,15.49,51.22,9.54,12.45,17.21,14.76,53.96,10.85,3.64,2.62,12.16,29.27,14.88,3.65,1.12,0.92,20.57,6.25,5.04,2.67,0.50,14.46,6.72,6.14,4.68,0.36,17.90,5.94,5.25,3.82,1.94,16.95,4.82,3.86,2.84,2.42,13.94,10.65,4.30,4.13,1.94,21.02,17.24,19.42,20.71,16.49,73.86,23.00,17.98,21.49,4.07,66.54,12.36,4.95,20.32,26.12,63.75,20.30,13.80,18.45,36.40,88.95,19.33,15.78,..,..,..
..Snapper (Maya-maya),....Eastern Samar,16.00,20.00,20.00,33.00,89.00,35.00,25.00,35.00,31.00,126.00,39.00,40.00,55.00,60.00,194.00,35.32,50.15,102.50,94.45,282.42,100.00,106.85,112.65,91.19,410.69,107.70,104.20,64.55,62.68,339.13,92.17,133.14,68.76,42.41,336.48,43.19,82.03,33.62,34.41,193.25,41.46,160.67,86.27,101.94,390.34,43.14,157.91,51.43,62.24,314.72,45.30,132.80,74.33,68.95,321.38,30.00,126.34,89.71,43.78,289.83,28.92,95.96,91.23,53.34,269.45,10.73,87.75,86.66,49.47,234.61,30.48,40.71,32.93,43.29,147.41,13.32,11.92,2.69,49.29,77.22,7.28,8.84,20.10,30.42,66.64,12.34,2.62,6.27,30.83,52.06,46.77,2.48,..,69.29,118.54,7.32,92.63,..,..,..
..Snapper (Maya-maya),....Leyte,66.00,68.00,89.00,91.00,314.00,79.00,73.00,92.00,99.00,343.00,88.00,81.00,98.00,109.00,376.00,89.00,110.00,193.00,136.00,528.00,93.00,110.00,190.00,144.13,537.13,53.64,144.02,167.91,175.51,541.08,59.72,155.05,189.30,427.75,831.82,87.59,62.96,130.80,517.79,799.14,238.76,84.85,227.27,475.43,1026.31,124.53,168.81,185.93,260.53,739.80,213.27,112.12,85.71,206.49,617.59,131.03,125.18,87.39,51.13,394.73,104.26,245.02,113.07,105.14,567.49,148.06,246.01,84.20,81.48,559.75,11.53,366.97,103.11,138.46,620.07,181.88,162.37,91.87,125.23,561.35,69.52,61.09,68.97,115.54,315.12,606.70,109.55,257.84,587.10,1561.19,463.41,301.69,426.51,202.37,1393.98,533.55,296.04,..,..,..
..Snapper (Maya-maya),....Northern Samar,34.00,22.00,13.00,2.00,71.00,42.00,57.00,61.00,2.00,162.00,46.00,59.00,63.50,17.00,185.50,62.00,86.80,77.00,87.00,312.80,81.00,91.00,59.38,77.79,309.17,100.00,108.93,67.41,87.45,363.79,84.20,111.54,113.03,116.52,425.29,118.00,32.90,120.07,119.06,390.03,112.92,77.07,51.66,102.99,344.64,110.19,67.01,33.45,51.24,261.89,39.63,73.09,47.04,53.44,213.20,41.53,67.67,50.30,39.12,198.62,37.12,55.74,52.80,34.36,180.02,28.55,48.83,52.99,31.23,161.60,26.37,45.05,56.70,34.69,162.81,21.47,51.15,59.75,37.47,169.84,22.40,22.63,57.10,32.54,134.67,20.61,89.60,39.72,29.35,179.28,67.30,80.32,59.96,119.63,327.21,43.42,160.25,..,..,..
..Snapper (Maya-maya),....Samar,16.00,10.00,..,4.00,30.00,4.00,18.00,10.00,7.00,39.00,4.00,8.05,14.00,7.00,33.05,33.00,29.00,12.00,16.00,90.00,15.00,36.00,10.00,..,61.00,22.50,60.59,17.65,32.16,132.90,108.62,115.59,20.00,21.03,265.24,33.38,6.66,0.45,..,40.49,..,31.00,30.44,33.97,95.41,30.52,23.97,16.52,31.11,102.12,16.00,65.95,56.58,71.19,209.72,28.48,67.18,15.88,9.32,120.86,21.55,38.86,56.32,78.75,195.48,22.18,95.81,83.88,71.19,273.06,95.59,27.88,162.68,119.50,405.65,105.92,122.65,36.20,110.36,375.13,109.60,66.89,91.31,164.10,431.90,128.23,207.77,125.66,137.54,599.20,110.24,128.57,112.23,123.92,474.96,42.26,113.85,..,..,..
..Snapper (Maya-maya),....Southern Leyte,11.00,16.00,8.00,16.00,51.00,12.00,17.00,8.00,15.00,52.00,12.00,18.00,8.00,15.00,53.00,13.00,24.00,6.00,17.80,60.80,12.00,22.25,3.50,22.52,60.27,22.47,30.00,19.62,21.27,93.36,20.55,26.89,21.28,13.62,82.34,10.13,20.00,1.80,10.00,41.93,5.00,18.00,5.00,8.00,36.00,6.00,17.00,6.00,6.84,35.84,5.67,10.35,8.53,1.43,25.98,5.78,0.98,20.68,20.15,47.59,4.70,0.93,18.94,20.06,44.63,3.93,4.47,14.55,24.81,47.76,3.25,1.36,3.81,3.59,12.01,14.50,14.35,2.08,8.04,38.97,1.07,6.53,7.29,2.94,17.83,0.09,2.49,1.39,2.30,6.27,4.00,1.27,3.12,33.54,41.93,0.45,2.14,..,..,..
..Snapper (Maya-maya),..Region IX (Zamboanga Peninsula),127.00,116.00,55.00,199.00,497.00,137.00,387.00,246.00,200.00,970.00,140.81,345.19,171.78,231.70,889.48,127.95,234.95,143.62,319.95,826.47,282.24,190.34,393.66,195.60,1061.84,316.16,317.10,138.06,211.54,982.86,187.93,368.45,351.96,370.82,1279.16,191.64,722.98,299.06,221.73,1435.41,175.19,788.65,216.55,329.55,1509.94,222.99,388.32,375.23,328.49,1315.03,131.74,229.80,298.91,269.98,930.43,168.16,259.51,303.99,289.75,1021.41,228.64,243.68,321.95,297.29,1091.56,201.04,278.25,284.00,343.12,1106.41,118.09,213.28,182.20,480.55,994.12,225.39,317.02,222.03,365.75,1130.19,207.19,266.78,122.57,311.10,907.64,163.67,269.55,333.15,328.81,1095.18,316.92,456.01,506.58,431.82,1711.33,413.49,550.37,..,..,..
..Snapper (Maya-maya),....Zamboanga del Norte,30.00,31.00,21.00,15.00,97.00,31.00,260.00,201.00,18.00,510.00,28.00,206.34,110.00,16.00,360.34,53.22,205.00,100.00,53.85,412.07,73.69,21.02,39.36,37.60,171.67,60.42,32.11,20.85,24.79,138.17,49.53,29.44,22.01,30.07,131.05,83.37,239.99,172.08,81.65,577.09,18.96,223.89,0.81,78.11,321.77,6.97,5.31,2.22,25.30,39.80,3.18,4.33,0.42,0.40,8.33,4.67,20.62,1.21,0.63,27.13,8.40,19.09,8.93,6.06,42.48,3.09,10.25,7.80,8.67,29.81,5.07,10.48,9.50,7.32,32.37,8.32,11.04,11.24,8.88,39.48,8.56,13.12,9.86,8.60,40.14,6.07,14.32,4.64,8.80,33.83,6.58,14.97,4.70,8.06,34.31,7.80,11.32,..,..,..
..Snapper (Maya-maya),....Zamboanga del Sur,38.00,4.00,4.00,48.00,94.00,20.00,23.00,4.00,61.00,108.00,22.06,27.80,6.08,61.13,117.07,66.26,23.30,37.05,119.69,246.30,76.70,81.96,66.80,113.50,338.96,78.20,98.52,56.32,110.74,343.78,88.46,120.04,124.48,131.19,464.17,79.22,131.46,63.92,76.77,351.37,95.77,51.55,99.77,47.17,294.26,90.16,43.33,91.62,97.26,322.37,64.40,62.01,86.52,85.16,298.09,65.66,66.53,83.69,80.82,296.70,71.94,85.41,85.55,87.12,330.02,66.83,84.17,59.57,90.34,300.91,67.13,70.23,104.28,81.43,323.07,149.45,139.43,85.45,84.65,458.98,137.19,154.90,54.37,50.46,396.92,66.01,158.79,249.74,112.90,587.44,116.52,261.54,341.14,181.39,900.59,237.40,259.44,..,..,..
..Snapper (Maya-maya),....Zamboanga Sibugay,9.00,9.00,7.00,31.00,56.00,31.00,31.00,18.00,..,80.00,41.10,36.31,22.10,34.50,134.01,6.82,..,0.20,30.41,37.43,46.52,0.26,285.75,3.44,335.97,119.40,106.47,51.20,49.22,326.29,25.64,150.61,176.52,171.39,524.16,10.52,131.53,17.61,18.81,178.47,10.84,284.81,37.22,145.23,478.10,58.37,112.98,200.74,136.77,508.86,32.13,41.22,93.57,98.66,265.58,59.49,69.91,91.95,93.60,314.95,73.79,62.18,106.25,107.79,350.01,84.26,77.63,84.42,111.60,357.91,20.77,53.84,18.23,229.57,322.41,34.06,128.15,77.73,122.55,362.49,23.27,49.80,4.33,80.92,158.32,49.12,28.79,19.88,34.35,132.14,146.99,102.96,101.68,61.61,413.24,110.65,190.62,..,..,..
..Snapper (Maya-maya),....City of Zamboanga,50.00,72.00,23.00,105.00,250.00,55.00,73.00,23.00,121.00,272.00,49.65,74.74,33.60,120.07,278.06,1.65,6.65,6.37,116.00,130.67,85.33,87.10,1.75,41.06,215.24,58.14,80.00,9.69,26.79,174.62,24.30,68.36,28.95,38.17,159.78,18.53,220.00,45.45,44.50,328.48,49.62,228.40,78.75,59.04,415.81,67.49,226.70,80.65,69.16,444.00,32.03,122.24,118.40,85.76,358.43,38.34,102.45,127.14,114.70,382.63,74.51,77.00,121.22,96.32,369.05,46.86,106.20,132.21,132.51,417.78,25.12,78.73,50.19,162.23,316.27,33.56,38.40,47.61,149.67,269.24,38.17,48.96,54.01,171.12,312.26,42.47,67.65,58.89,172.76,341.77,46.83,76.54,59.06,180.76,363.19,57.64,88.99,..,..,..
..Snapper (Maya-maya),..Region X (Nothern Mindanao),61.00,84.00,74.00,280.00,499.00,109.00,147.00,70.00,107.00,433.00,126.31,151.40,71.81,100.67,450.19,113.35,125.95,64.32,104.94,408.56,125.53,66.23,172.15,119.51,483.42,117.56,101.59,191.11,288.49,698.75,128.74,126.40,215.65,350.50,821.29,192.18,135.22,586.97,288.99,1203.36,196.16,193.65,548.56,230.06,1168.43,79.52,135.80,565.70,219.20,1000.22,143.21,218.21,266.92,211.35,839.69,175.39,215.54,319.88,227.50,938.31,215.41,216.88,333.74,241.44,1007.47,205.04,216.96,330.11,220.08,972.19,208.89,254.48,341.11,233.87,1038.35,200.94,249.60,343.55,249.34,1043.43,203.08,228.09,296.58,249.77,977.52,208.18,203.26,307.15,249.43,968.02,191.24,199.65,295.72,255.16,941.77,194.86,203.12,..,..,..
..Snapper (Maya-maya),....Bukidnon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Snapper (Maya-maya),....Camiguin,..,..,..,..,..,..,..,..,4.00,4.00,..,0.10,0.40,..,0.50,1.50,2.25,2.42,0.50,6.67,1.30,1.50,7.83,1.37,12.00,1.50,4.86,11.60,4.61,22.57,0.66,7.16,1.94,0.96,10.72,2.25,1.76,1.49,0.77,6.27,2.19,4.25,1.06,1.36,8.86,5.08,4.19,6.88,3.28,19.43,4.37,3.39,5.19,1.80,14.75,5.67,4.55,4.93,3.72,18.87,5.39,6.16,4.19,4.86,20.60,2.48,5.76,4.18,6.13,18.55,5.22,37.10,10.79,5.39,58.50,4.66,16.08,8.97,7.53,37.24,6.17,5.77,5.96,8.25,26.15,4.46,9.58,9.83,5.15,29.02,3.16,6.16,9.33,8.16,26.81,5.80,4.11,..,..,..
..Snapper (Maya-maya),....Lanao del Norte,2.00,1.00,3.00,..,6.00,1.00,..,1.00,2.00,4.00,12.03,5.30,1.02,2.00,20.35,11.00,4.70,1.25,1.20,18.15,59.69,3.21,111.03,34.38,208.31,54.36,24.97,123.40,187.39,390.12,64.16,45.48,157.54,264.94,532.12,129.10,76.48,118.80,173.17,497.55,85.06,127.06,59.29,106.63,378.04,21.32,82.43,53.24,96.01,253.00,18.15,76.10,40.24,41.85,176.34,42.56,56.89,71.04,45.67,216.16,45.93,54.25,72.82,49.02,222.02,48.88,58.47,93.33,61.41,262.09,49.80,50.01,109.97,72.18,281.96,56.06,57.63,115.26,80.10,309.05,52.49,54.07,105.40,80.23,292.19,56.42,57.76,112.17,80.01,306.36,59.57,63.00,92.30,80.87,295.74,62.70,60.78,..,..,..
..Snapper (Maya-maya),....Misamis Occidental,36.00,39.00,53.00,245.00,373.00,100.00,100.00,52.00,100.00,352.00,105.67,103.00,53.39,97.67,359.73,100.00,100.00,56.00,90.00,346.00,61.00,60.00,50.00,80.00,251.00,59.30,63.87,51.72,92.29,267.18,62.80,65.81,53.43,83.44,265.48,58.68,55.08,463.95,112.08,689.79,105.72,60.92,485.39,118.88,770.91,49.26,44.98,497.26,116.49,707.99,118.29,135.85,219.86,159.97,633.97,124.34,138.32,230.60,163.73,656.99,144.59,142.55,228.03,160.12,675.29,146.02,140.63,223.61,149.44,659.70,148.93,152.85,212.62,150.76,665.16,135.49,147.25,209.49,151.76,643.99,134.67,134.52,175.67,147.28,592.14,136.88,115.79,164.29,132.96,549.92,118.74,116.55,160.94,142.46,538.69,109.76,123.59,..,..,..
..Snapper (Maya-maya),....Misamis Oriental,23.00,44.00,18.00,35.00,120.00,8.00,47.00,17.00,1.00,73.00,8.61,43.00,17.00,1.00,69.61,0.85,19.00,4.65,13.24,37.74,3.54,1.52,3.29,3.76,12.11,2.40,7.89,4.39,4.20,18.88,1.12,7.95,2.74,1.16,12.97,2.15,1.90,2.73,2.97,9.75,3.19,1.42,2.82,3.19,10.62,3.86,4.20,8.32,3.42,19.80,2.40,2.87,1.63,7.73,14.63,2.82,15.78,13.31,14.38,46.29,19.50,13.92,28.70,27.44,89.56,7.66,12.10,8.99,3.10,31.85,4.94,14.52,7.73,5.54,32.73,4.73,28.64,9.83,9.95,53.15,9.75,33.73,9.55,14.01,67.04,10.42,20.13,20.86,31.31,82.72,9.77,13.94,33.15,23.67,80.53,16.60,14.64,..,..,..
..Snapper (Maya-maya),..Region XI (Davao Region),37.00,32.00,45.00,63.00,177.00,36.00,32.00,42.00,44.00,154.00,34.42,31.09,39.32,41.78,146.61,83.13,94.69,102.66,107.26,387.74,119.85,87.62,262.23,93.09,562.79,67.43,106.85,85.39,179.32,438.99,112.58,243.40,84.13,97.61,537.72,64.54,87.04,60.60,30.88,243.06,58.54,160.23,149.57,60.96,429.30,113.97,284.69,128.08,100.56,627.30,54.09,35.66,115.83,88.34,293.92,54.40,60.08,76.77,33.19,224.44,95.64,49.94,56.27,30.00,231.85,34.03,49.23,20.21,43.69,147.16,54.30,77.35,39.58,46.46,217.69,26.72,40.48,86.18,23.36,176.74,14.28,27.27,40.47,26.97,108.99,106.50,29.65,36.03,32.71,204.89,20.12,108.50,94.54,31.06,254.22,79.02,85.68,..,..,..
..Snapper (Maya-maya),....Davao de Oro,3.00,3.00,3.00,3.00,12.00,3.00,4.00,3.00,5.00,15.00,3.02,4.23,3.15,5.28,15.68,6.23,7.86,5.67,6.00,25.76,10.06,8.74,10.54,11.96,41.30,8.49,6.43,11.74,10.81,37.47,9.29,5.57,11.28,11.48,37.62,7.71,8.76,17.63,9.37,43.47,8.66,8.93,17.46,8.42,43.47,8.01,8.56,14.59,5.82,36.98,4.38,7.36,9.97,3.09,24.80,4.82,7.15,7.36,3.04,22.37,3.86,5.51,5.77,4.16,19.30,6.26,14.08,5.41,6.20,31.95,12.98,10.12,5.31,3.43,31.84,2.94,5.39,3.50,2.76,14.59,0.70,3.51,4.78,1.89,10.88,3.47,5.47,5.02,2.56,16.52,3.41,5.25,5.09,4.31,18.06,3.45,2.46,..,..,..
..Snapper (Maya-maya),....Davao del Norte,2.00,2.00,2.00,2.00,8.00,2.00,2.00,1.00,12.00,17.00,2.00,2.02,1.01,11.67,16.70,1.87,0.61,3.37,2.76,8.61,8.07,2.64,2.61,6.92,20.24,1.65,4.69,2.84,1.82,11.00,7.90,1.13,5.45,3.93,18.41,5.01,4.34,2.71,2.89,14.95,2.78,17.56,6.20,8.93,35.47,7.42,12.01,3.99,2.87,26.29,1.75,9.10,4.78,6.58,22.21,3.07,2.98,1.34,2.35,9.74,2.09,2.03,1.39,5.31,10.82,8.69,5.16,4.87,4.36,23.08,4.82,15.48,0.88,2.66,23.84,3.10,11.25,6.64,1.49,22.48,2.28,6.85,0.54,0.40,10.07,0.36,3.81,1.23,0.33,5.73,0.68,0.29,0.45,0.99,2.41,0.08,0.04,..,..,..
..Snapper (Maya-maya),....Davao del Sur,10.00,8.00,14.00,4.00,36.00,9.00,7.00,12.00,5.00,33.00,7.59,6.32,11.39,4.81,30.11,7.45,3.74,3.93,10.28,25.40,8.02,22.17,7.75,37.93,75.87,16.62,17.52,19.25,31.32,84.71,5.15,10.15,11.32,16.37,42.99,1.46,0.44,1.73,1.20,4.83,11.68,8.08,5.46,15.59,40.81,75.13,37.69,0.65,47.84,161.31,1.11,2.29,2.09,1.13,6.62,1.54,1.78,1.90,1.28,6.50,52.87,15.33,15.99,2.46,86.65,1.75,3.96,5.40,9.43,20.54,13.79,14.15,7.12,5.29,40.35,2.20,11.10,16.39,..,29.69,1.10,10.23,14.60,12.95,38.88,16.02,18.77,11.19,18.75,64.73,8.42,30.19,12.13,..,50.74,10.20,39.78,..,..,..
..Snapper (Maya-maya),....Davao Occidental,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.28,..,..,9.39,72.67,1.40,48.45,70.01,13.50,133.36,58.09,40.50,..,..,..
..Snapper (Maya-maya),....Davao Oriental,18.00,16.00,23.00,51.00,108.00,18.00,16.00,23.00,18.00,75.00,17.81,15.43,20.76,16.02,70.02,66.04,80.56,88.99,85.75,321.34,91.17,49.36,240.18,34.03,414.74,40.14,76.95,50.90,134.09,302.08,88.58,223.13,54.79,64.41,430.91,48.85,73.06,38.09,17.42,177.42,34.22,121.48,117.95,28.02,301.67,21.59,222.18,103.15,36.99,383.91,45.95,15.62,95.14,71.84,228.55,41.85,45.56,63.43,23.14,173.98,34.12,25.92,33.12,15.98,109.14,17.33,24.77,3.73,23.47,69.30,22.71,37.60,25.17,28.78,114.26,18.48,12.74,59.22,18.63,109.07,9.77,5.28,20.55,11.73,47.33,21.51,..,18.50,..,40.01,6.21,23.58,6.42,11.82,48.03,4.94,1.71,..,..,..
..Snapper (Maya-maya),....City of Davao,4.00,3.00,3.00,3.00,13.00,4.00,3.00,3.00,4.00,14.00,4.00,3.09,3.01,4.00,14.10,1.54,1.92,0.70,2.47,6.63,2.53,4.71,1.15,2.25,10.64,0.53,1.26,0.66,1.28,3.73,1.66,3.42,1.29,1.42,7.79,1.51,0.44,0.44,..,2.39,1.20,4.18,2.50,..,7.88,1.82,4.25,5.70,7.04,18.81,0.90,1.29,3.85,5.70,11.74,3.12,2.61,2.74,3.38,11.85,2.70,1.15,..,2.09,5.94,..,1.26,0.80,0.23,2.29,..,..,1.10,6.30,7.40,..,..,0.43,0.48,0.91,0.43,1.40,..,..,1.83,1.86,1.60,0.09,1.68,5.23,..,0.74,0.44,0.44,1.62,2.26,1.19,..,..,..
..Snapper (Maya-maya),..Region XII (SOCCSKSARGEN),35.00,32.00,19.00,20.00,106.00,49.00,46.00,26.00,17.00,138.00,38.62,51.04,24.23,17.74,131.63,78.71,132.59,25.58,91.96,328.84,82.45,95.64,21.99,36.90,236.98,50.24,77.36,20.35,25.83,173.78,29.80,45.43,34.33,33.93,143.49,41.20,42.45,42.89,38.40,164.94,39.59,45.29,26.84,23.65,135.37,43.79,53.44,19.20,21.15,137.58,25.44,37.53,21.92,22.18,107.07,32.76,43.84,26.30,20.81,123.71,11.49,23.54,31.48,29.59,96.10,16.69,15.65,40.82,41.44,114.60,9.44,20.91,41.58,31.06,102.99,8.78,10.46,34.54,38.78,92.56,7.84,5.88,7.99,20.96,42.67,21.81,27.06,12.28,8.46,69.61,13.92,15.65,21.76,14.24,65.57,11.05,6.86,..,..,..
..Snapper (Maya-maya),....Cotabato,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..Snapper (Maya-maya),....Sarangani,25.00,24.00,15.00,1.00,65.00,26.00,26.00,16.00,12.00,80.00,23.11,28.42,14.93,12.30,78.76,52.43,107.98,13.10,79.00,252.51,63.30,62.00,4.50,25.68,155.48,18.22,39.07,10.82,7.75,75.86,5.44,14.87,12.37,12.46,45.14,13.03,3.65,26.03,25.29,68.00,22.14,15.66,19.41,16.28,73.49,26.96,20.83,0.43,5.00,53.22,8.45,6.53,6.39,7.71,29.08,20.10,8.65,7.95,2.50,39.20,0.60,4.82,11.38,8.06,24.86,5.50,5.00,4.50,6.08,21.08,..,13.81,12.32,..,26.13,..,3.52,2.23,3.08,8.83,3.71,2.65,2.69,2.61,11.66,16.39,22.63,7.90,4.91,51.83,13.29,11.85,18.13,11.79,55.06,7.63,3.03,..,..,..
..Snapper (Maya-maya),....Sultan Kudarat,10.00,8.00,4.00,7.00,29.00,11.00,11.00,4.00,1.00,27.00,10.24,6.49,3.38,1.04,21.15,20.33,18.00,5.58,5.97,49.88,12.55,21.04,6.99,3.92,44.50,11.06,20.56,7.24,3.65,42.51,10.60,21.76,7.26,4.22,43.84,10.72,22.89,6.08,4.48,44.17,10.98,23.58,6.19,4.44,45.19,11.36,22.61,6.01,5.43,45.41,7.01,22.61,6.25,5.55,41.42,5.00,27.87,11.57,9.31,53.75,3.50,12.00,13.39,12.93,41.82,6.38,10.65,32.48,30.09,79.60,8.48,6.70,28.52,30.46,74.16,8.78,6.56,30.58,28.81,74.73,3.15,2.99,5.19,12.54,23.87,1.01,3.33,3.48,2.87,10.69,0.55,3.17,3.21,2.45,9.38,2.73,3.83,..,..,..
..Snapper (Maya-maya),....South Cotabato,..,..,..,12.00,12.00,12.00,9.00,6.00,4.00,31.00,5.27,16.13,5.92,4.40,31.72,5.95,6.61,6.90,6.99,26.45,6.60,12.60,10.50,7.30,37.00,20.96,17.73,2.29,14.43,55.41,13.76,8.80,14.70,17.25,54.51,17.45,15.91,10.78,8.63,52.77,6.47,6.05,1.24,2.93,16.69,5.47,10.00,12.76,10.72,38.95,9.98,8.39,9.28,8.92,36.57,7.66,7.32,6.78,9.00,30.76,7.39,6.72,6.71,8.60,29.42,4.81,..,3.84,5.27,13.92,0.96,0.40,0.74,0.60,2.70,..,0.38,1.73,6.89,9.00,0.98,0.24,0.11,5.81,7.14,4.41,1.10,0.90,0.68,7.09,0.08,0.63,0.42,..,1.13,0.69,..,..,..,..
..Snapper (Maya-maya),..Region XIII (Caraga),273.00,345.00,265.00,107.00,990.00,278.00,362.00,268.00,45.00,953.00,206.40,384.33,270.50,44.00,905.23,208.20,244.46,206.03,47.50,706.19,167.50,213.50,155.00,58.61,594.61,108.88,191.34,412.96,127.17,840.35,412.80,245.40,312.03,196.49,1166.72,331.94,247.03,272.64,163.64,1015.25,281.77,351.44,291.95,283.66,1208.82,124.28,359.42,406.05,280.84,1170.59,143.89,255.42,418.93,322.48,1140.72,188.09,330.79,456.78,411.14,1386.80,201.36,332.43,436.49,423.91,1394.19,263.49,283.97,426.86,453.46,1427.78,203.81,268.56,356.88,519.59,1348.84,208.17,330.02,286.16,270.08,1094.43,200.84,213.05,186.72,199.43,800.04,145.07,224.46,229.48,206.85,805.86,110.58,241.10,142.83,192.36,686.87,141.78,361.65,..,..,..
..Snapper (Maya-maya),....Agusan del Norte,153.00,208.00,162.00,2.00,525.00,145.00,220.00,162.00,2.00,529.00,82.40,238.33,167.50,2.00,490.23,85.00,75.33,40.03,1.50,201.86,60.00,75.00,69.00,2.00,206.00,1.00,18.13,29.60,20.58,69.31,1.74,3.23,24.39,12.50,41.86,9.92,1.53,8.16,5.15,24.76,20.06,8.01,7.60,2.15,37.82,8.46,7.57,5.29,2.91,24.23,4.42,5.15,4.03,2.70,16.30,3.16,2.54,3.45,1.89,11.04,1.03,10.66,17.34,10.40,39.43,8.11,11.64,13.21,9.79,42.75,5.95,13.44,12.93,7.89,40.21,6.18,15.02,9.26,5.85,36.31,4.77,15.09,8.35,4.90,33.11,5.42,13.42,7.63,4.47,30.94,4.97,12.04,7.43,6.16,30.60,4.66,11.50,..,..,..
..Snapper (Maya-maya),....Agusan del Sur,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
